暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標,驗_A幾何,驗_A_W,驗_A_D,驗_A_命中角,驗_A_理由,驗_B藍影,驗_B_G,驗_B_藍影面積,驗_B_Δ,驗_B_臨正街,驗_B_臨屁股,驗_C面積,驗_C_G,驗_C_e,驗_C_街角範圍面積,驗_C_門檻,驗_C_Δ,驗_總判,驗_rejected,驗_鏈,驗_宗序,驗_不可判輸入
R5-抵費地-1,—,R5,—,0.0,4150.21,92.8,45.71,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1620.79,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R5-抵費地-2,—,R5,—,0.0,4150.21,92.8,45.71,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,146.18,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
628(4),628,R3,a,71.69,4206.8,93.41,44.34,1.6496,2.0,0.0,否,否,—,0.0,0.0,0.0,1.03,44.89,44.9,1.03,left,幾何二分法,18,✅,0.3737,1.03,⚠️移出/第1調配順位,不合格,3.5,14.0,,面積 < W×D（必要條件不成立）,不適用,44.9,—,—,—,—,不適用,44.9,0.0,—,—,—,剔除,True,left,其後,—
628-34(2),628-34,R3,b,429.35,4206.8,93.41,44.34,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,5.72,250.25,250.25,6.74,left,幾何二分法,18,✅,0.4171,5.7,,合格,3.5,14.0,34.5,容納（命中角度 34.500000°）,不適用,250.25,—,—,—,—,不適用,250.25,0.0,—,—,—,保留,False,left,第2宗,—
628-46(1),628-46,R3,b,124.85,4206.8,93.41,44.34,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,1.66,72.78,72.77,8.4,left,幾何二分法,13,✅,0.4171,1.65,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,72.77,—,—,—,—,不適用,72.77,0.0,—,—,—,剔除,True,left,其後,—
628-47(1)+,628-47,R3,b,627.61,4206.8,93.41,44.34,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,8.34,365.84,365.84,16.74,left,幾何二分法,17,✅,0.4171,8.3,,合格,3.5,14.0,22.5,容納（命中角度 22.500000°）,不適用,365.84,—,—,—,—,不適用,365.84,0.0,—,—,—,保留,False,left,其後,—
628-32(3),628-32,R3,b,722.88,4206.8,93.41,44.34,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,9.58,421.41,421.41,26.32,left,幾何二分法,15,✅,0.417,9.54,,合格,3.5,14.0,16.5,容納（命中角度 16.500000°）,不適用,421.41,—,—,—,—,不適用,421.41,0.0,—,—,—,保留,False,left,其後,—
628-30(3)+,628-30,R3,b,1145.67,4206.8,93.41,44.34,1.9407,2.0,1.0,是,是,右側,44.9,14.14,88.3,17.54,627.57,627.57,17.54,right,幾何二分法,13,✅,0.4522,17.47,,不適用,—,—,—,—,不適用,627.57,—,—,—,—,合格,627.57,0.0,307.793779,307.793779,319.776221,保留,False,right,街角第1宗,—
628-42(2),628-42,R3,b,153.46,4206.8,93.41,44.34,1.9407,2.0,1.0,否,否,—,44.9,16.1,6.4,0.32,89.97,89.96,17.86,right,幾何二分法,17,✅,0.4138,0.32,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 364 個角度皆不可容納,合格,89.96,75.918289,14.041711,0.32309,3.704416,不適用,89.96,0.0,307.793779,—,—,剔除,True,right,第2宗,—
628-27(2),628-27,R3,b,46.68,4206.8,93.41,44.34,1.9407,2.0,1.0,否,否,—,44.9,16.69,1.76,0.59,26.54,26.54,18.46,right,幾何二分法,14,✅,0.4314,0.59,⚠️移出/第1調配順位,不合格,3.5,14.0,,面積 < W×D（必要條件不成立）,不適用,26.54,—,—,—,—,不適用,26.54,0.0,307.793779,—,—,剔除,True,right,其後,—
628-29(1)+,628-29,R3,b,228.0,4206.8,93.41,44.34,1.9407,2.0,1.0,否,否,—,44.9,19.62,3.53,2.95,131.61,131.61,21.41,right,幾何二分法,16,✅,0.4228,2.94,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,131.61,—,—,—,—,不適用,131.61,0.0,307.793779,—,—,剔除,True,right,其後,—
628-31(3),628-31,R3,b,652.89,4206.8,93.41,44.34,1.9407,2.0,1.0,否,否,—,44.9,28.13,0.0,8.54,380.81,380.81,29.95,right,幾何二分法,17,✅,0.4167,8.5,,合格,3.5,14.0,21.5,容納（命中角度 21.500000°）,不適用,380.81,—,—,—,—,不適用,380.81,0.0,307.793779,—,—,保留,False,right,其後,—
R3-抵費地,—,R3,—,0.0,4206.8,93.41,44.34,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1795.13,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
